uid,summary,title,url,newspaper,host,n_tokens_title,n_tokens_summary
70c0f7f4d24dbf9c6dc28ed59dc379f1,"En momentos sociales difíciles para Colombia, el ciclista Egan Bernal manda una sonrisa a sus compatriotas y aporta más luz a ese glorioso pasado con el quinto gran título nacional en las grandes, y el segundo en el Giro.",Egan Bernal nos da un ‘Giro’ de Esperanza,https://www.vanguardia.com/deportes/giro-de-italia/egan-bernal-nos-da-un-giro-de-esperanza-JB3829748,vanguardia,www.vanguardia.com,5,21
1a916ddf0a2aed513b11e4d3730d37a9,"La Fiscalía confirmó este miércoles que obtuvo elementos materiales de prueba que dan cuenta de supuestas irregularidades en un contrato de empréstito o préstamo, suscrito el 5 de diciembre de 2013, entre el departamento de Antioquia y el Banco CorpBanca S.A.",Fiscalía imputará cargos a Fajardo por contrato con Corpbanca,https://www.vanguardia.com/colombia/fiscalia-imputara-cargos-a-fajardo-por-contrato-con-corpbanca-IM3583820,vanguardia,www.vanguardia.com,6,20
025dcb399d60a55fa9aeda2b23275b02,En el corregimiento de Berlín están vendiendo parcelas de 2.500 metros cuadrados sin licencias o permisos. Desde la Alcaldía de Tona confirmaron que el loteo en esta zona del páramo no está permitida. Cdmb tiene en la mira 11 proyectos. Conozca lo que dijeron tres empresas al ser confrontadas por la Unidad Investigativa de Vanguardia.,Así ofrecen parcelas sin permisos en zona de páramo de Berlín,https://www.vanguardia.com/area-metropolitana/bucaramanga/asi-ofrecen-parcelas-sin-permisos-en-zona-de-paramo-de-berlin-MM3907961,vanguardia,www.vanguardia.com,7,27
039b2da52136fc2d8b5a973069b0f2d0,"¿Qué pasó con Al Qaeda 10 años después de la desaparición de Osama bin Laden? Aunque la red terrorista fue eclipsada por el Estado Islámico, aún está activa y se ha expandido hasta convertirse en una estructura yihadista global.",Diez años de la muerte de Osama bin Laden: ¿Qué pasó con Al Qaeda?,https://www.vanguardia.com/mundo/diez-anos-de-la-muerte-de-osama-bin-laden-que-paso-con-al-qaeda-NN3719258,vanguardia,www.vanguardia.com,8,20
bf8b564578a16cf502fe1f41ff332089,"Las soluciones tecnológicas han brindado la posibilidad a empresas y al mundo en general de ajustarse a la nueva realidad desencadenada por la pandemia. Para las organizaciones, las TIC se han convertido en un aliado estratégico que les ha permitido continuar con sus operaciones, dinamizando la economía del país.","Tecnología, el factor fundamental para la reactivación",https://www.vanguardia.com/informes-comerciales/informacion-comercial/tecnologia-el-factor-fundamental-para-la-reactivacion-JL3940830,vanguardia,www.vanguardia.com,4,23
b2a99279909c04d886b0df1de76378cd,"Este miércoles arribó al país un nuevo lote de vacunas contra el COVID-19 del laboratorio de Pfizer. En total fueron 539.370 dosis las que llegaron al país, que se suman a las 540.540 que recibió el pasado martes.",539.370 vacunas de Pfizer llegaron a Colombia este miércoles,https://www.vanguardia.com/colombia/539370-vacunas-de-pfizer-llegaron-a-colombia-este-miercoles-JI3947795,vanguardia,www.vanguardia.com,5,16
319c0e631dc669e7ba7668a2e2b77f80,"La tasa de desempleo en Colombia en mayo fue de 15,6%, una cifra que muestra la reactivación que ha tenido el empleo en el país en los últimos meses, pero que sigue sin alcanzar aún los niveles anteriores a la pandemia del coronavirus.","En mayo hubo 3,79 millones de personas desocupadas en Colombia",https://www.vanguardia.com/economia/nacional/en-mayo-hubo-379-millones-de-personas-desocupadas-en-colombia-EG3945521,vanguardia,www.vanguardia.com,5,18
f4e1f5ed0151067f3fb1e0a881a947f2,"Para los comerciantes de alimentos, si el paro continúa como hasta el momento es preocupante la situación de aprovisionamiento.",Los alimentos ya empezaron a escasear en Bucaramanga,https://www.vanguardia.com/economia/local/los-alimentos-ya-empezaron-a-escasear-en-bucaramanga-JY3742478,vanguardia,www.vanguardia.com,4,9
3c61e8d79d677d1ee8b3f53400dd6288,"En una cámara de seguridad quedó grabado el momento en el que los homicidas huyen, después de apuñalar a Miguel Franco en el barrio Granjas de Provenza de Bucaramanga.",Video: cámaras de seguridad grabaron la huida de quienes asesinaron a un joven deportista en Bucaramanga,https://www.vanguardia.com/judicial/video-camaras-de-seguridad-grabaron-la-huida-de-quienes-asesinaron-a-un-joven-deportista-en-bucaramanga-MJ3946284,vanguardia,www.vanguardia.com,9,15
08520ce9f503eca203433948d3d3fbf2,"El general Sepúlveda recibe el mando de manos del mayor general Marcos Evangelista Pinto Lizarazo, otro bumangués quien había tomado las riendas de la División en enero del año pasado.",Un bumangués llega a comandar la Segunda División del Ejército Nacional,https://www.vanguardia.com/judicial/un-bumangues-llega-a-comandar-la-segunda-division-del-ejercito-nacional-HI3947393,vanguardia,www.vanguardia.com,7,18
21ac7cda41729ee31b54cd9203b40b50,"Si usted vive en estratos 1, 2 o 3 en Bucaramanga y el área metropolitana puede acceder gratuitamente al Parque Nacional Del Chicamocha desde este 2 de julio hasta el 20 de diciembre.",Habitantes de Bucaramanga y el área podrán ingresar gratuitamente a Panachi y Acuaparque,https://www.vanguardia.com/economia/local/habitantes-de-bucaramanga-y-el-area-podran-ingresar-gratuitamente-a-panachi-y-acuaparque-DI3947746,vanguardia,www.vanguardia.com,8,15
11f3c8e6b3b12e9db078c360592f362e,"De la carretera a los cielos, un automóvil que se convierte en avión en solo tres minutos, voló entre los aeropuertos de Nitra y Bratislava, en Eslovaquia.","Video: El “Aircar”, auto con alas que voló 80 kilómetros en Eslovaquia",https://www.vanguardia.com/mundo/video-el-aircar-auto-con-alas-que-volo-80-kilometros-en-eslovaquia-AJ3946266,vanguardia,www.vanguardia.com,7,13
